행정구역,총인구수,연령구간인구수,0~9세,10~19세,20~29세,30~39세,40~49세,50~59세,60~69세,70~79세,80~89세,90~99세,100세 이상,oldAgePercent,childAgePercent,adultAgePercent
경기도  ,13630821.0,13630821.0,989550.0,1320631.0,1682138.0,1878734.0,2256931.0,2335999.0,1831793.0,847103.0,423029.0,63061.0,1852.0,23.232921920110314,16.948216105251472,73.25747289910124
강원특별자치도  ,1527807.0,1527807.0,90872.0,129053.0,163610.0,158594.0,208819.0,262513.0,275323.0,141876.0,84135.0,12622.0,390.0,33.66563970449147,14.394815575527536,69.96034184946134
충청북도  ,1593469.0,1593469.0,103333.0,144446.0,181676.0,187761.0,230702.0,272450.0,257982.0,128433.0,75249.0,11181.0,256.0,29.690003382557173,15.549659265414013,70.95029774661447
충청남도  ,2130119.0,2130119.0,143771.0,202057.0,225658.0,251099.0,323996.0,350093.0,325082.0,178624.0,110575.0,18670.0,494.0,29.73754048482737,16.23514930386518,69.2885233172419
전라북도  ,1754757.0,1754757.0,102482.0,164304.0,190813.0,172999.0,245114.0,300818.0,284897.0,171805.0,104131.0,16920.0,474.0,32.951969987867265,15.203586593471346,68.08013873145968
전라남도  ,1804217.0,1804217.0,107726.0,158933.0,178152.0,169502.0,240813.0,310282.0,305457.0,189922.0,123690.0,19148.0,592.0,35.40643946930996,14.779763188130918,66.74396705052663
경상북도  ,2554324.0,2554324.0,151926.0,217311.0,248255.0,259154.0,357366.0,444707.0,449427.0,252946.0,150000.0,22667.0,565.0,34.27932400118387,14.45537057945664,68.86005847339648
경상남도  ,3251158.0,3251158.0,211999.0,315947.0,322711.0,350135.0,505303.0,582857.0,529417.0,269057.0,141937.0,21352.0,443.0,29.595793252742563,16.238706331713193,70.44945216442879
제주특별자치도  ,675252.0,675252.0,51403.0,70469.0,74037.0,78167.0,108720.0,118487.0,93983.0,47881.0,26824.0,4986.0,295.0,25.76356678691807,18.048373051838425,70.1062714364415
세종특별자치시  ,386525.0,386525.0,43541.0,50736.0,37810.0,59340.0,77183.0,54433.0,37233.0,16478.0,8234.0,1494.0,43.0,16.42377595239635,24.390919086734364,59.18530496086929
세종특별자치시 ,386525.0,386525.0,43541.0,50736.0,37810.0,59340.0,77183.0,54433.0,37233.0,16478.0,8234.0,1494.0,43.0,16.42377595239635,24.390919086734364,59.18530496086929
