진료년도,상별구분,시도,시군구,성별,연령구분,환자수,입내원일수,요양급여비용
2018,우울증,서울,종로구,남,40~49세,478,2867,207439000
2018,우울증,서울,종로구,남,50~59세,498,2726,175500100
2018,우울증,서울,종로구,남,60~69세,644,3100,185899840
2018,우울증,서울,종로구,남,70~79세,838,4715,277107410
2018,우울증,서울,종로구,남,80~89세,376,1904,103646000
2018,우울증,서울,종로구,남,90~99세,25,131,7704920
2018,우울증,서울,종로구,남,100세 이상,0,0,0
2018,우울증,서울,종로구,여,0~9세,0,0,0
2018,우울증,서울,종로구,여,10~19세,472,4656,643087750
2018,우울증,서울,종로구,여,20~29세,1034,7774,641788550
2018,우울증,서울,종로구,여,30~39세,854,6277,443620650
2018,우울증,서울,종로구,여,40~49세,888,5404,333650650
2018,우울증,서울,종로구,여,50~59세,1468,7928,465312800
2018,우울증,서울,종로구,여,60~69세,2275,13007,764879460
2018,우울증,서울,종로구,여,70~79세,2648,15653,933191070
2018,우울증,서울,종로구,여,80~89세,933,4898,276079570
2018,우울증,서울,종로구,여,90~99세,70,304,16687080
2018,우울증,서울,종로구,여,100세 이상,0,0,0
2018,우울증,서울,중구,남,0~9세,0,0,0
2018,우울증,서울,중구,남,10~19세,49,259,21164440
2018,우울증,서울,중구,남,20~29세,258,1297,78894840
2018,우울증,서울,중구,남,30~39세,239,1275,76866080
2018,우울증,서울,중구,남,40~49세,275,1495,89993960
2018,우울증,서울,중구,남,50~59세,216,1297,73721690
2018,우울증,서울,중구,남,60~69세,205,1245,68626540
2018,우울증,서울,중구,남,70~79세,164,911,57290410
2018,우울증,서울,중구,남,80~89세,65,363,19718140
2018,우울증,서울,중구,남,90~99세,0,0,0
2018,우울증,서울,중구,남,100세 이상,0,0,0
2018,우울증,서울,중구,여,0~9세,0,0,0
2018,우울증,서울,중구,여,10~19세,126,815,48913240
2018,우울증,서울,중구,여,20~29세,554,3303,202676620
2018,우울증,서울,중구,여,30~39세,434,2528,152184720
2018,우울증,서울,중구,여,40~49세,334,2271,137160930
2018,우울증,서울,중구,여,50~59세,399,2349,145727290
2018,우울증,서울,중구,여,60~69세,425,2796,158495230
2018,우울증,서울,중구,여,70~79세,406,2427,146330570
2018,우울증,서울,중구,여,80~89세,185,985,57680240
2018,우울증,서울,중구,여,90~99세,18,73,2023140
2018,우울증,서울,중구,여,100세 이상,0,0,0
2018,우울증,서울,송파구,남,0~9세,27,121,8128250
2018,우울증,서울,송파구,남,10~19세,442,3692,252884800
2018,우울증,서울,송파구,남,20~29세,809,5780,378764640
2018,우울증,서울,송파구,남,30~39세,660,3981,255056990
2018,우울증,서울,송파구,남,40~49세,584,3754,225965590
2018,우울증,서울,송파구,남,50~59세,569,3327,203847260
2018,우울증,서울,송파구,남,60~69세,563,3208,176111220
2018,우울증,서울,송파구,남,70~79세,433,2518,143681710
2018,우울증,서울,송파구,남,80~89세,200,1080,62523930
2018,우울증,서울,송파구,남,90~99세,17,60,4269420
2018,우울증,서울,송파구,남,100세 이상,0,0,0
2018,우울증,서울,송파구,여,0~9세,17,125,7856020
2018,우울증,서울,송파구,여,10~19세,650,6191,484144580
2018,우울증,서울,송파구,여,20~29세,1288,10024,678161150
2018,우울증,서울,송파구,여,30~39세,1286,9647,585872660
2018,우울증,서울,송파구,여,40~49세,1298,9886,603471190
2018,우울증,서울,송파구,여,50~59세,1318,8756,459167220
2018,우울증,서울,송파구,여,60~69세,1336,8186,453221890
2018,우울증,서울,송파구,여,70~79세,989,5175,252397650
2018,우울증,서울,송파구,여,80~89세,459,2484,124120830
2018,우울증,서울,송파구,여,90~99세,41,212,6758040
2018,우울증,서울,송파구,여,100세 이상,0,0,0
2018,우울증,서울,중랑구,남,0~9세,0,0,0
2018,우울증,서울,중랑구,남,10~19세,130,1717,112279220
2018,우울증,서울,중랑구,남,20~29세,280,1666,91634530
2018,우울증,서울,중랑구,남,30~39세,249,1543,85364740
2018,우울증,서울,중랑구,남,40~49세,274,1732,94490070
2018,우울증,서울,중랑구,남,50~59세,318,1976,103721350
2018,우울증,서울,중랑구,남,60~69세,360,2484,145003200
2018,우울증,서울,중랑구,남,70~79세,254,1648,105382920
2018,우울증,서울,중랑구,남,80~89세,93,611,48828070
2018,우울증,서울,중랑구,남,90~99세,0,0,0
2018,우울증,서울,중랑구,남,100세 이상,0,0,0
2018,우울증,서울,중랑구,여,0~9세,0,0,0
2018,우울증,서울,중랑구,여,10~19세,171,2240,154035810
2018,우울증,서울,중랑구,여,20~29세,470,3380,186443620
2018,우울증,서울,중랑구,여,30~39세,432,2550,138386980
2018,우울증,서울,중랑구,여,40~49세,506,3409,184095830
2018,우울증,서울,중랑구,여,50~59세,701,4277,217617600
2018,우울증,서울,중랑구,여,60~69세,632,4153,273310120
2018,우울증,서울,중랑구,여,70~79세,588,3506,202832430
2018,우울증,서울,중랑구,여,80~89세,242,2009,128793960
2018,우울증,서울,중랑구,여,90~99세,18,68,3225730
2018,우울증,서울,중랑구,여,100세 이상,0,0,0
2018,우울증,서울,양천구,남,0~9세,0,0,0
2018,우울증,서울,양천구,남,10~19세,193,1153,65143870
2018,우울증,서울,양천구,남,20~29세,335,2142,127141290
2018,우울증,서울,양천구,남,30~39세,203,1135,59047610
2018,우울증,서울,양천구,남,40~49세,209,1358,76055110
2018,우울증,서울,양천구,남,50~59세,213,1072,51347020
2018,우울증,서울,양천구,남,60~69세,213,1159,53209430
2018,우울증,서울,양천구,남,70~79세,190,982,40299170
2018,우울증,서울,양천구,남,80~89세,72,378,13100860
2018,우울증,서울,양천구,남,90~99세,11,24,645290
2018,우울증,서울,양천구,남,100세 이상,0,0,0
2018,우울증,서울,양천구,여,0~9세,0,0,0
2018,우울증,서울,양천구,여,10~19세,287,1882,135077690
2018,우울증,서울,양천구,여,20~29세,430,2782,164168460
2018,우울증,서울,양천구,여,30~39세,486,2931,166882910
2018,우울증,서울,양천구,여,40~49세,573,3603,173518700
2018,우울증,서울,양천구,여,50~59세,628,3169,142772870
2018,우울증,서울,양천구,여,60~69세,621,3254,157852800
2018,우울증,서울,양천구,여,70~79세,466,2425,111653990
2018,우울증,서울,양천구,여,80~89세,218,1043,39392520
2018,우울증,서울,양천구,여,90~99세,18,57,2354480
2018,우울증,서울,양천구,여,100세 이상,0,0,0
2018,우울증,서울,서초구,남,0~9세,12,87,5049150
2018,우울증,서울,서초구,남,10~19세,352,2555,179622490
2018,우울증,서울,서초구,남,20~29세,1050,7415,518049530
2018,우울증,서울,서초구,남,30~39세,830,5402,348368230
2018,우울증,서울,서초구,남,40~49세,757,5077,310342680
2018,우울증,서울,서초구,남,50~59세,646,4215,245829570
2018,우울증,서울,서초구,남,60~69세,541,3210,198462950
2018,우울증,서울,서초구,남,70~79세,418,2351,154951820
2018,우울증,서울,서초구,남,80~89세,191,1039,67862210
2018,우울증,서울,서초구,남,90~99세,0,0,0
2018,우울증,서울,서초구,남,100세 이상,0,0,0
2018,우울증,서울,서초구,여,0~9세,0,0,0
2018,우울증,서울,서초구,여,10~19세,586,4473,299062010
2018,우울증,서울,서초구,여,20~29세,2074,15493,1063900260
2018,우울증,서울,서초구,여,30~39세,1651,11177,732818200
2018,우울증,서울,서초구,여,40~49세,1530,11274,667400880
2018,우울증,서울,서초구,여,50~59세,1480,9340,556803130
2018,우울증,서울,서초구,여,60~69세,1462,8451,546251770
2018,우울증,서울,서초구,여,70~79세,1147,6285,438959250
2018,우울증,서울,서초구,여,80~89세,470,2459,149862720
2018,우울증,서울,서초구,여,90~99세,37,189,12787980
2018,우울증,서울,서초구,여,100세 이상,0,0,0
